Comment,Description,Designator,Footprint,LibRef,Pins,Quantity
"MMSZ4685T1G(3.6V)","肖特基二极管","D4","SOD-123","SOD-123 B5819W  SL","2","1"
"绿灯 0603","发光二极管","D5, D9, D10","0603_LED_S1","0603 绿灯","2","3"
"MMSZ4683T1G(3V)","肖特基二极管","D6, D8","SOD-123","SOD-123 B5819W  SL","2","2"
"Fuse 1A","Fuse","F1","0805_R","Fuse 2","2","1"
"HC-05_CON","Header, 6-Pin","HC05","HDR1X6","Header 6","6","1"
"USB","Header, 5-Pin","P2","MICRO-USB","Header 5","7","1"
"蓝牙选择","Header, 3-Pin, Dual row","P6","HDR2X3","Header 3X2","6","1"
"SS8050 Y1","三极管","Q1","SOT-23(SOT-23-3)","SOT-23 SS8050 Y1","3","1"
"BSS84LT1G","MOS(场效应管)","Q2","SOT-23(SOT-23-3)","BSS84LT1G","3","1"
"SS8550 Y2","三极管","Q3","SOT-23(SOT-23-3)","SOT-23 SS8550 Y2","3","1"
"1MΩ","贴片电阻","R2, R26","0402_R","0603 100KΩ (1003) 1%, 0603 1.2MΩ (1204) 1%","2","2"
"10KΩ","贴片电阻","R3, R14","0402_R","0603 10KΩ (1002) 1%, 0603 1KΩ (1001) 1%","2","2"
"100KΩ","贴片电阻","R4, R15, R16","0402_R","0603 100KΩ (1003) 1%, 0402 100KΩ (1003) 1%","2","3"
"2.2KΩ (2201) ±1%","贴片电阻","R5, R6, R7, R8, R9, R10, R11, R12, R13","0402_R","0402 2.2KΩ (2201) 1%","2","9"
"1KΩ (1001) ±1%","贴片电阻","R17, R18, R19","0402_R","0603 1KΩ (1001) 1%","2","3"
"1.2KΩ","贴片电阻","R20","0402_R","0402 1.2KΩ (1201) 1%","2","1"
"1KΩ","贴片电阻","R21, R25","0402_R","0402 1KΩ (1001) 1%, 0603 1KΩ (1001) 1%","2","2"
"0Ω","贴片电阻","R22","0402_R","0603 0Ω (0R0) 1%","2","1"
"510Ω","贴片电阻","R23, R24","0402_R","0603 510Ω (5100) 1%","2","2"
"10K","贴片电阻","R27, R30, R31","0402_R","0603 10Ω (10R0) 1%","2","3"
"10Ω","贴片电阻","R28","0402_R","0603 10Ω (10R0) 1%","2","1"
"10Ω (10R0) ±1%","贴片电阻","R29","0402_R","0603 10Ω (10R0) 1%","2","1"
"SW-PB","Switch","S1","KEY_5.8*5.8","SW-PB","6","1"
"SW-PB","Switch","S2","key_4.5*4.5*3.8","SW-PB","3","1"
"信号采集端口","Header, 5-Pin, Dual row","SENSOR","HDR2X5","Header 5X2","10","1"
"SWD","Header, 4-Pin","SWD","HDR1X4","Header 4","4","1"
"ADS1299","","U1","ADS1299","ADS1299","64","1"
"TPD4E1B06DCKR","","U2, U3, U4","TPD4","TPD4E1B06DCKR","6","3"
"CH340G","USB","U5","SOIC-16_150mil","CH340G_[C14267]","16","1"
"TPS71733DCKR","","U6","SC-70-5","TPS71733DCKR","5","1"
"TP4056","电池电源管理","U7","SOP-8_EP_150mil","TP4056_[C16581]","9","1"
"TPS73225","","U8","SOT-23-5","TPS73225","5","1"
"TPS60403","","U9","SOT-23-5","TPS60403","5","1"
"TPS72325","","U10","SOT-23-5","TPS72325","5","1"
"nRF52832","","U11","nRF52832","nRF52832","24","1"
"STM32F429ZGT6","ARM","U12","LQFP-144_20x20x05P","STM32F429ZGT6","144","1"
"电源","Header, 5-Pin, Dual row","V-CON","HDR2X5","Header 5X2","10","1"
"12MHZ","贴片晶振","Y1","SMD-3225_4P","SMD-3225_4P  12MHZ 20PF 10PPM","4","1"
"32.768KHz","贴片晶振","Y2","SMD-3215_2P FC - 135","SMD-3215_2P 32.768KHz 20ppm 12.5pF","2","1"
"8MHz","贴片晶振","Y3","SMD-5032_2P","SMD-5032_2P 8MHz 20ppm 20pF","2","1"
